,,,,,,,,,,,,,,,
適用期間 利用できない期間 通常 4月1日～6月30日、9月1日～10月29日 区分Aの路線 利用できない期間はありません。 ピーク 3月27日～3月31日、7月1日～8月31日 区分Bの路線 3月27日～3月31日、8月5日～8月21日 区分Cの路線 3月27日～3月31日、7月15日～8月21日 各路線の運賃額 6 8 お一人様片道（１区間）あたり,適用期間 利用できない期間 通常 4月1日～6月30日、9月1日～10月29日 区分Aの路線 利用できない期間はありません。 ピーク 3月27日～3月31日、7月1日～8月31日 区分Bの路線 3月27日～3月31日、8月5日～8月21日 区分Cの路線 3月27日～3月31日、7月15日～8月21日 各路線の運賃額 6 8 お一人様片道（１区間）あたり,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
路線,路線,,,,,区分,通常,ピーク,,路線,,区分,通常,ピーク,
東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京,東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京 東京,,,,札幌（新千歳） 稚内 紋別 女満別 旭川 中標津 釧路 帯広 函館 大館能代 秋田 庄内 仙台 名古屋（中部） 新潟 富山 小松 能登 八丈島 大阪 岡山 広島 岩国 山口宇部 鳥取 米子 萩・石見 徳島 高松 松山 高知 福岡 北九州 佐賀 大分 熊本 長崎 宮崎 鹿児島 沖縄 宮古 石垣,B C C C C C C C C C B B C C C A A A A A A A A A C C C C B C C B B B C C C C C C C C,"34,500 43,200 42,900 41,900 39,700 41,300 39,300 38,600 31,600 25,800 24,600 20,900 18,200 18,200 17,300 22,100 22,100 22,100 14,900 22,900 30,000 30,400 30,400 35,000 27,500 28,800 33,000 29,700 29,900 32,000 32,300 37,300 37,300 37,300 35,600 37,500 39,800 37,200 39,300 41,200 54,050 57,700","35,900 45,200 44,900 43,700 41,600 43,100 41,000 40,300 33,400 27,100 25,600 21,900 19,400 19,400 18,300 23,500 23,500 23,500 15,000 24,000 31,400 31,900 31,900 36,500 28,800 30,000 34,600 31,200 31,200 33,300 33,700 39,000 39,000 39,000 37,100 39,300 41,700 38,900 41,000 43,200 56,650 60,500",,名古屋（中部） 名古屋（中部） 名古屋（中部） 名古屋（中部） 名古屋（中部） 名古屋（中部） 名古屋（中部） 名古屋（中部） 名古屋（中部） 名古屋（中部） 名古屋（中部） 名古屋（中部） 名古屋（中部） 名古屋（中部） 名古屋（中部） 名古屋（中部）,女満別 旭川 札幌（新千歳） 函館 秋田 仙台 新潟 松山 福岡 大分 熊本 長崎 宮崎 鹿児島 沖縄 石垣,C C C C C C C C A C C C C C C C,"44,600 41,100 38,200 35,400 28,800 28,600 25,300 23,900 26,100 24,800 29,600 32,100 29,900 32,200 39,000 51,600","46,600 43,100 39,700 37,100 30,100 30,000 26,500 25,100 27,400 26,000 31,000 33,500 31,300 33,600 40,800 53,800",
,,,,,,,,,,札幌（新千歳） 札幌（新千歳） 札幌（新千歳） 札幌（新千歳） 札幌（新千歳） 札幌（新千歳） 札幌（新千歳） 札幌（新千歳） 札幌（新千歳） 札幌（新千歳） 札幌（新千歳） 札幌（新千歳） 札幌（新千歳） 札幌（新千歳） 札幌（新千歳） 札幌（新千歳） 札幌（新千歳） 札幌（新千歳）,利尻 稚内 女満別 中標津 釧路 函館 青森 秋田 仙台 福島 静岡 新潟 富山 小松 岡山 広島 福岡 沖縄,A A C A C C C C C C C C C C C C C C,"22,200 21,200 21,400 21,300 20,000 16,600 21,400 24,700 28,700 31,400 37,400 29,700 34,400 34,400 44,000 46,000 51,800 62,600","23,300 22,000 22,300 22,400 20,900 17,400 22,600 25,900 30,000 32,700 39,600 31,300 35,900 35,900 46,100 48,100 54,300 65,600",
,,,,,,,,,,仙台 仙台,小松 広島,C C,"28,300 38,300","29,500 40,000",
,,,,,,,,,,福岡 福岡 福岡 福岡 福岡 福岡,仙台 新潟 小松 対馬 福江 宮崎,C C C A A A,"44,000 41,500 33,500 14,100 18,200 19,600","46,100 43,400 35,200 14,900 19,000 20,700",
大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪,大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪 大阪,,,,札幌（新千歳） 女満別 旭川 釧路 函館 青森 秋田 仙台 福島 新潟 萩・石見 松山 高知 福岡 大分 熊本 長崎 宮崎 鹿児島 沖縄 宮古 石垣,C C C C C C C C C C C C C A C A C C A C C C,"42,300 44,750 45,900 - 39,300 37,100 33,500 31,500 30,100 29,100 - 17,300 17,200 22,300 19,500 23,900 26,300 24,400 27,400 35,000 45,000 47,600","44,300 46,800 48,000 48,500 41,100 38,800 35,000 32,800 31,600 30,800 24,600 18,500 18,000 23,300 20,800 24,900 27,600 25,400 28,500 36,500 46,900 49,800",,長崎 長崎 長崎,対馬 壱岐 福江,A A A,"14,500 10,400 12,400","15,100 11,400 13,500",
,,,,,,,,,,沖縄 沖縄 沖縄 沖縄 沖縄 沖縄 沖縄 沖縄 沖縄 沖縄 沖縄 沖縄 沖縄 沖縄,仙台 新潟 静岡 広島 岩国 高松 松山 福岡 熊本 長崎 宮崎 鹿児島 宮古 石垣,C C C C C C C C C C C C B B,"50,700 50,300 40,100 32,300 32,300 34,000 31,500 28,200 27,500 27,900 27,800 25,900 17,100 22,300","53,100 52,600 42,400 33,600 33,600 35,300 32,700 29,400 28,700 29,100 29,000 27,100 17,900 23,300",
,,,,,,,,,,福岡,石垣,C,"43,900","46,000",
,,,,,,,,,,宮古,石垣,A,"11,600","12,100",
,,,,,,,,,,<2016年01月20日現在>,,,,,
　ご注意,　ご注意,,,,,,,,,,,,,,
